a_star,radius_rg,zero_torque_flux,stressed_flux_delta_eta_0p02
0.0,6.10486302634358,1.5093089261753864e-08,8.692520957555089e-06
0.0,6.157979816505047,3.250835722339169e-08,8.381197018104491e-06
0.0,6.211558761736149,5.5350002630761246e-08,8.088870399382975e-06
0.0,6.26560388312528,8.283424074803459e-08,7.81413248965218e-06
0.0,6.320119236747254,1.142538935581788e-07,7.555684014203589e-06
0.0,6.375108913967714,1.4897154583074385e-07,7.3123262190627226e-06
0.0,6.430577041750186,1.8641331716246981e-07,7.082952807388794e-06
0.0,6.486527782965812,2.260631917240571e-07,6.866542559495583e-06
0.0,6.542965336705764,2.6745785334563665e-07,6.662152574280819e-06
0.0,6.599893938596396,3.101819788294207e-07,6.468912075973568e-06
0.0,6.657317861117115,3.538639470665618e-07,6.286016735580007e-06
0.0,6.71524141392104,3.9817192572219397e-07,6.112723461300774e-06
0.0,6.773668944158434,4.4281030099551376e-07,5.948345616574804e-06
0.0,6.8326048368029575,4.875164193117349e-07,5.79224862833245e-06
0.0,6.892053514980763,5.32057612803275e-07,5.643845951565172e-06
0.0,6.952019440302447,5.762284831287015e-07,5.502595359485371e-06
0.0,7.012507113197894,6.198484205932521e-07,5.367995531396896e-06
0.0,7.073521073254033,6.627593377051207e-07,5.2395829129593585e-06
0.0,7.13506589955553,7.048235982531203e-07,5.1169288258378375e-06
0.0,7.197146211028451,7.459221247483166e-07,4.9996368058116794e-06
0.0,7.259766666786908,7.859526686546344e-07,4.887340150294958e-06
0.0,7.322931966482729,8.248282292607877e-07,4.779699657919015e-06
0.0,7.3866468506581615,8.624756083331672e-07,4.6764015443619045e-06
0.0,7.450916101101649,8.988340888532639e-07,4.577155519999405e-06
0.0,7.515744541206709,9.33854227193614e-07,4.481693016209313e-06
0.0,7.58113703633392,9.674967490380765e-07,4.38976554830198e-06
0.0,7.647098494176071,9.997315402127766e-07,4.301143204083926e-06
0.0,7.713633865126482,1.0305367243741018e-06,4.215613248000747e-06
0.0,7.780748142650528,1.05989782020718e-06,4.132978831658536e-06
0.0,7.848446363660397,1.0878069714303734e-06,4.053057802299563e-06
0.0,7.916733608893114,1.1142622434826303e-06,3.9756816015126095e-06
0.0,7.985615003291846,1.1392669813007225e-06,3.9006942471022205e-06
0.0,8.055095716390525,1.1628292230738682e-06,3.827951391626206e-06
0.0,8.125180962701826,1.1849611653004474e-06,3.757319451644376e-06
0.0,8.19587600210851,1.2056786748704903e-06,3.6886748022093846e-06
0.0,8.267186140258184,1.2250008442595743e-06,3.6219030315746285e-06
0.0,8.33911672896148,1.2429495862503453e-06,3.5568982515004706e-06
0.0,8.411673166593713,1.25954926489963e-06,3.493562458911952e-06
0.0,8.484860898500028,1.2748263597433748e-06,3.431804945000144e-06
0.0,8.558685417404064,1.2888091604829151e-06,3.3715417481705883e-06
0.0,8.633152263820197,1.3015274896248766e-06,3.312695147526546e-06
0.0,8.70826702646934,1.3130124507569737e-06,3.2551931938362697e-06
0.0,8.784035342698383,1.3232962003324446e-06,3.1989692751716074e-06
0.0,8.86046289890327,1.3324117410113558e-06,3.1439617146250863e-06
0.0,8.937555430955769,1.3403927347676836e-06,3.090113397714359e-06
